Country	HDI	Life expectancy	Schooling	mean years of school	GNI/cap	LogG/c
"Palestine, State of"	0.684	73.1	12.8	8.9	5256	3.7206554
Viet Nam	0.683	75.9	12.6	8	5335	3.7271344
Philippines	0.682	68.3	11.7	9.3	8395	3.9240207
El Salvador	0.68	73.3	13.2	6.5	7732	3.8882918
Bolivia (Plurinational State of)	0.674	68.7	13.8	8.2	6155	3.7892281
South Africa	0.666	57.7	13	10.3	12087	4.0823185
Kyrgyzstan	0.664	70.8	13	10.8	3097	3.4909412
Iraq	0.649	69.6	10.1	6.6	11608	4.0647574
Cabo Verde	0.648	73.5	13.5	4.8	6049	3.7816836
Morocco	0.647	74.3	12.1	5	7195	3.8570308
Nicaragua	0.645	75.2	11.7	6.5	4747	3.6764192
Guatemala	0.64	72.1	10.7	6.3	7063	3.8489892
Namibia	0.64	65.1	11.7	6.7	9770	3.9898946
Guyana	0.638	66.5	10.3	8.4	6884	3.8378409
Micronesia (Federated States of)	0.638	69.3	11.7	9.7	3291	3.5173279
Tajikistan	0.627	69.6	11.3	10.4	2601	3.4151404
Honduras	0.625	73.3	11.2	6.2	4466	3.6499187
India	0.624	68.3	11.7	6.3	5663	3.7530466
Bhutan	0.607	69.9	12.5	3.1	7081	3.8500946
Timor-Leste	0.605	68.5	12.5	4.4	5371	3.7300552
Vanuatu	0.597	72.1	10.8	6.8	2805	3.4479329
Congo	0.592	62.9	11.1	6.3	5503	3.7405995
Equatorial Guinea	0.592	57.9	9.2	5.5	21517	4.3327817
Kiribati	0.588	66.2	11.9	7.8	2475	3.3935752
Lao People's Democratic Republic	0.586	66.6	10.8	5.2	5049	3.7032054
Bangladesh	0.579	72	10.2	5.2	3341	3.5238765
Ghana	0.579	61.5	11.5	6.9	3839	3.5842181
Zambia	0.579	60.8	12.5	6.9	3464	3.5395779
Sao Tome and Principe	0.574	66.6	12	5.3	3070	3.4871384
Cambodia	0.563	68.8	10.9	4.7	3095	3.4906607
Nepal	0.558	70	12.2	4.1	2337	3.3686587
Myanmar	0.556	66.1	9.1	4.7	4943	3.6939906
Kenya	0.555	62.2	11.1	6.3	2881	3.4595433
Pakistan	0.55	66.4	8.1	5.1	5031	3.7016543
Swaziland	0.541	48.9	11.4	6.8	7522	3.8763333
Syrian Arab Republic	0.536	69.7	9	5.1	2441	3.3875678
Angola	0.533	52.7	11.4	5	6291	3.7987197
Tanzania (United Republic of)	0.531	65.5	8.9	5.8	2467	3.3921691
Nigeria	0.527	53.1	10	6	5443	3.7358383
Cameroon	0.518	56	10.4	6.1	2894	3.4614985
Papua New Guinea	0.516	62.8	9.9	4.3	2712	3.4332897
Zimbabwe	0.516	59.2	10.3	7.7	1588	3.2008505
Solomon Islands	0.515	68.1	9.6	5.3	1561	3.1934029
Mauritania	0.513	63.2	8.5	4.3	3527	3.5474055
Madagascar	0.512	65.5	10.3	6.1	1320	3.1205739
Rwanda	0.498	64.7	10.8	3.8	1617	3.20871
Comoros	0.497	63.6	11.1	4.8	1335	3.1254813
Lesotho	0.497	50.1	10.7	6.1	3319	3.5210073
Senegal	0.494	66.9	9.5	2.8	2250	3.3521825
Haiti	0.493	63.1	9.1	5.2	1657	3.2193225
Uganda	0.493	59.2	10	5.7	1670	3.2227165
Sudan	0.49	63.7	7.2	3.5	3846	3.5850093
Togo	0.487	60.2	12	4.7	1262	3.1010594
Benin	0.485	59.8	10.7	3.5	1979	3.2964458
Yemen	0.482	64.1	9	3	2300	3.3617278
Afghanistan	0.479	60.7	10.1	3.6	1871	3.2720738
Malawi	0.476	63.9	10.8	4.4	1073	3.0305997
Cte d'Ivoire	0.474	51.9	8.9	5	3163	3.5000992
Djibouti	0.473	62.3	6.3	4.1	3216	3.507316
Gambia	0.452	60.5	8.9	3.3	1541	3.1878026
Ethiopia	0.448	64.6	8.4	2.6	1523	3.1826999
Mali	0.442	58.5	8.4	2.3	2218	3.3459615
Congo (Democratic Republic of the)	0.435	59.1	9.8	6.1	680	2.8325089
Liberia	0.427	61.2	9.9	4.4	683	2.8344207
Guinea-Bissau	0.424	55.5	9.2	2.9	1369	3.1364034
Eritrea	0.42	64.2	5	3.9	1490	3.1731863
Sierra Leone	0.42	51.3	9.5	3.3	1529	3.1844075
Mozambique	0.418	55.5	9.1	3.5	1098	3.0406023
South Sudan	0.418	56.1	4.9	4.8	1882	3.2746196
Guinea	0.414	59.2	8.8	2.6	1058	3.0244857
Burundi	0.404	57.1	10.6	3	691	2.839478
Burkina Faso	0.402	59	7.7	1.4	1537	3.1866739
Chad	0.396	51.9	7.3	2.3	1991	3.2990713
Niger	0.353	61.9	5.4	1.7	889	2.9489018
Central African Republic	0.352	51.5	7.1	4.2	587	2.7686381
